Sample	input	filtered	filtered_pc	denoisedF	denoisedR	denoisedF_pc	denoisedR_pc	merged	merged_pc	tabled	chimera_out	length_filtered	tabled_pc	chimera_out_pc	length_filtered_pc	day	treatment	mouse_label	BW	BW_percent	BW_delta	DAI	treatment_grouped	treatment_invivo	day_num
S_469	22876	22575	0.99	21552	22319	0.95	0.99	19263	0.89	19263	15459	15459	1	0.8	1	Day_6	TreatC	m_28	20.73	0.026760563	-0.7	1	TreatC	TreatC	6
S_470	70853	70436	0.99	69010	69691	0.98	0.99	65289	0.95	65289	57063	57063	1	0.87	1	Day_6	TreatC	m_36	21.79	0.030262572	-0.33	2	TreatC	TreatC	6
S_471	66286	66030	1	64938	65385	0.98	0.99	58034	0.89	58034	43164	43164	1	0.74	1	Day_6	Control	m_2	20.65	-0.020862968	-0.34	0	Control	none	6
S_472	63794	63539	1	62844	62818	0.99	0.99	57373	0.91	57373	43837	43837	1	0.76	1	Day_6	Control	m_21	21.2	-0.005161896	0.25	0	Control	none	6
S_473	76951	76627	1	76016	76028	0.99	0.99	72195	0.95	72195	56134	56134	1	0.78	1	Day_6	Control	m_22	20.9	0.02200489	-1.05	0	Control	none	6
S_474	61480	61249	1	60023	60475	0.98	0.99	52673	0.88	52673	37386	37384	1	0.71	1	Day_6	Control	m_25	21.68	-0.014545455	0.38	0	Control	none	6
S_475	65287	65039	1	64261	64598	0.99	0.99	60887	0.95	60887	48463	48463	1	0.8	1	Day_6	Control	m_37	21.68	0.063788027	0.43	0	Control	none	6
S_476	62397	61982	0.99	60877	61304	0.98	0.99	55620	0.91	55620	43056	43056	1	0.77	1	Day_6	Control	m_44	22.45	0.039351852	0.52	0	Control	none	6
S_477	40902	40453	0.99	39440	40103	0.97	0.99	35722	0.91	35722	27699	27699	1	0.78	1	Day_6	Control	m_52	20.76	-0.045517241	-0.19	0	Control	none	6
S_478	67854	67566	1	66284	66723	0.98	0.99	57328	0.86	57328	43663	43663	1	0.76	1	Day_6	Control	m_53	21.74	-0.017623136	0.18	0	Control	none	6
